"","id","date","u","v","u.se","v.se","x.se","y.se","s","s.se","geometry","dist_to_next_m","dis_to_next_km","timetilnext","lon","lat"
"104","181625",2022-07-22,13.6213497887315,-18.4897092036163,4.02554456664173,4.02554491892932,96.6119513958574,96.6119598506617,22.9651995390448,NA,c(-119.309080379831, 34.2743928688443),447131.754070031,447.131754070031,24,-119.309080379831,34.2743928688443
"105","181625",2022-07-23,15.5029056129269,-21.1988732449167,4.02545138445682,4.02545173673626,0.0034846272892808,0.00348462807980078,26.2627551765018,NA,c(-115.966721084943, 30.3954754564051),533436.021257636,533.436021257636,24,-115.966721084943,30.3954754564051
"106","181625",2022-07-24,7.91791461947223,-11.3161824629763,6.20299488789134,6.20299652713861,148.870154277963,148.870193619442,13.811348104768,NA,c(-114.259634064825, 28.2577110939848),289632.05896886,289.63205896886,24,-114.259634064825,28.2577110939848
"107","181625",2022-07-25,2.54570556195756,-4.23372678005915,5.19652869200078,5.19653163944022,196.26712843552,196.267266189717,4.94014769510586,NA,c(-113.710790973278, 27.4464353641553),105115.615879923,105.115615879923,24,-113.710790973278,27.4464353641553
"108","181625",2022-07-26,-0.613695947150499,0.0484613916442774,5.19633025248975,5.19633247346179,148.882970902746,148.883031399818,0.615606386109888,NA,c(-113.843101161162, 27.4557562336726),13096.7878286774,13.0967878286774,24,-113.843101161162,27.4557562336726
"109","181625",2022-07-27,-1.56028990785194,1.53038205213402,6.20338532142936,6.20338784211151,0.00372312117128633,0.00372312220544449,2.18553742248828,NA,c(-114.179492906508, 27.7496933024823),46551.41166872,46.55141166872,24,-114.179492906508,27.7496933024823
"110","181625",2022-07-28,-0.294050709244712,0.212002791281586,4.03106083976211,4.03106195958004,96.7443404131972,96.7443672885166,0.362527368056564,NA,c(-114.242892125348, 27.7903522079785),7703.85689412976,7.70385689412976,24,-114.242892125348,27.7903522079785
"111","181625",2022-07-29,0.243475753382859,-0.324234055785154,4.03096752939062,4.03096864918263,0.00348512001493973,0.00348512087343557,0.405472767996278,NA,c(-114.190399807579, 27.7281673199666),8630.82072697446,8.63082072697446,24,-114.190399807579,27.7281673199666
"112","181625",2022-07-30,0.0522726112863532,-0.0783103834378285,4.11584576844215,4.11584425500906,98.7791551577836,98.7791188358098,0.0941574173265543,NA,c(-114.179129581886, 27.713142236232),2005.48501232655,2.00548501232655,24,-114.179129581886,27.713142236232
"113","181625",2022-07-31,-0.0326668742911993,0.0456200457065028,4.11575049615784,4.11574898275978,0.0034927569890534,0.00349275760833312,0.0561098320242578,NA,c(-114.186172418481, 27.7218950986928),1194.94051445922,1.19494051445922,24,-114.186172418481,27.7218950986928
"114","181625",2022-08-01,-0.0113402434310785,0.0475544076090525,7.91577235816656,7.91573911380654,189.976337796707,189.975539941302,0.0488878949840449,NA,c(-114.188617379062, 27.7310183362442),1042.61251607955,1.04261251607955,24,-114.188617379062,27.7310183362442
"115","181625",2022-08-02,0.00423309542874078,0.0462166178330426,8.34497203264363,8.34492399729734,337.492907462849,337.490662475434,0.0464100728388171,NA,c(-114.187704742024, 27.7398841857352),989.922444914735,0.989922444914735,24,-114.187704742024,27.7398841857352
"116","181625",2022-08-03,0.0140530756842247,0.0416066385222514,7.78742657818313,7.78738942872201,437.982129016976,437.978445436766,0.0439158434439407,NA,c(-114.184674959782, 27.7478650678124),936.185912196069,0.936185912196069,24,-114.184674959782,27.7478650678124
"117","181625",2022-08-04,0.0181196973353733,0.033724469676679,7.16343805481895,7.16342679270076,477.143183893159,477.138626042641,0.0382839821150451,NA,c(-114.180768431527, 27.7543335782321),815.552353159505,0.815552353159505,24,-114.180768431527,27.7543335782321
"118","181625",2022-08-05,0.0164329603821865,0.0225701112963252,7.08252166744663,7.08251818000355,449.208299099333,449.204201657312,0.0279186695764186,NA,c(-114.177225556453, 27.7586624138525),594.331124690916,0.594331124690916,24,-114.177225556453,27.7586624138525
"119","181625",2022-08-06,0.00899286482466442,0.00814356338119018,7.653047555805,7.65301250683388,355.879298030187,355.876651949864,0.0121321573650056,NA,c(-114.175286733752, 27.7602242662971),257.986033942043,0.257986033942043,24,-114.175286733752,27.7602242662971
"120","181625",2022-08-07,-0.00420058933719303,-0.00955517406872614,8.41373076160865,8.41367616478179,206.394519604854,206.393505114484,0.010437734535872,NA,c(-114.176192362616, 27.7583916790095),222.407466647181,0.222407466647181,24,-114.176192362616,27.7583916790095
"121","181625",2022-08-08,-0.0231474021033858,-0.0305261010534237,8.59967211587112,8.59962984592828,0.00407415081402939,0.00407414457839652,0.0383098560369318,NA,c(-114.181182842239, 27.7525368677663),815.466104092626,0.815466104092626,24,-114.181182842239,27.7525368677663
