,Long,Lat,Jdate,mean(speed),mean(tw),max(speed),date
289,-150.73,61.26,160,2.133011235,-0.264366558,2.863231929,6/10/22
290,-150.73,61.26,161,2.093497282,0.207166264,3.868019246,6/11/22
291,-150.73,61.26,162,3.376682324,-0.77338048,4.528607344,6/12/22
292,-150.73,61.26,163,2.113775104,-0.435632953,3.515937559,6/13/22
293,-150.73,61.26,164,2.764380282,0.215754873,4.182088815,6/14/22
294,-150.73,61.26,165,2.116654519,0.251970666,4.345646577,6/15/22
295,-150.73,61.26,166,2.29998741,-0.40272408,3.554583607,6/16/22
296,-150.73,61.26,167,3.352679042,0.569960102,5.679064597,6/17/22
297,-150.73,61.26,168,3.368120896,-1.068968722,5.020460837,6/18/22
298,-150.73,61.26,169,1.331319286,-0.055999885,2.32683787,6/19/22
299,-150.73,61.26,170,1.972078041,0.644989401,3.982201864,6/20/22
300,-150.73,61.26,171,2.818808421,0.332437185,5.426157504,6/21/22
301,-150.73,61.26,172,2.658102054,-0.474771065,4.599850958,6/22/22
302,-150.73,61.26,173,2.893713408,-0.091088734,4.217883238,6/23/22
303,-150.73,61.26,174,2.097956541,-0.582945727,3.644710594,6/24/22
304,-150.73,61.26,175,4.238631135,-0.146410031,5.8592719,6/25/22
305,-150.73,61.26,176,2.902419776,0.782457735,4.784869492,6/26/22
306,-150.73,61.26,177,2.880786581,-0.202046229,4.771380644,6/27/22
307,-150.73,61.26,178,2.912456544,-0.158950671,4.238438051,6/28/22
308,-150.73,61.26,179,2.32020942,-1.021103791,3.824894404,6/29/22
309,-150.73,61.26,180,2.881176035,-0.239605924,4.703832934,6/30/22
310,-150.73,61.26,181,3.393435387,-0.284784483,4.748082148,7/1/22
311,-150.73,61.26,182,2.380717769,-0.043710579,3.814766347,7/2/22
312,-150.73,61.26,183,1.451752094,0.18358857,3.260190861,7/3/22
313,-150.73,61.26,184,2.547840882,-0.306280683,4.468467752,7/4/22
314,-150.73,61.26,185,2.730478414,-0.83062725,4.219531346,7/5/22
315,-150.73,61.26,186,2.709770433,-0.318865569,4.970980579,7/6/22
316,-150.73,61.26,187,3.057871537,0.809436156,4.50337815,7/7/22
317,-150.73,61.26,188,1.839411767,0.219039637,3.485577495,7/8/22
318,-150.73,61.26,189,2.821181538,-0.340112808,3.800011585,7/9/22
319,-150.73,61.26,190,1.322814146,-0.17860535,2.228689197,7/10/22
320,-150.73,61.26,191,1.887876241,0.100943993,2.927241724,7/11/22
321,-150.73,61.26,192,2.03950647,0.260105737,4.545683922,7/12/22
322,-150.73,61.26,193,1.773173502,0.044630676,3.91851833,7/13/22
323,-150.73,61.26,194,2.776590292,0.24510519,4.441922179,7/14/22
324,-150.73,61.26,195,2.033745908,0.516555894,3.101543913,7/15/22
325,-150.73,61.26,196,4.430601206,-0.290849032,6.983330109,7/16/22
326,-150.73,61.26,197,2.528395264,-0.017858829,4.594360836,7/17/22
327,-150.73,61.26,198,2.863167618,0.314713414,4.715158811,7/18/22
328,-150.73,61.26,199,4.062282774,-0.322503218,5.970030266,7/19/22
329,-150.73,61.26,200,4.906611083,0.993658943,7.46227496,7/20/22
330,-150.73,61.26,201,3.188515635,-0.505701964,5.393268811,7/21/22
331,-150.73,61.26,202,3.17117437,0.559661493,4.23540015,7/22/22
332,-150.73,61.26,203,2.684354302,-0.382465405,3.60309412,7/23/22
333,-150.73,61.26,204,1.971277406,0.244413622,2.981471156,7/24/22
334,-150.73,61.26,205,1.952291881,0.074542585,3.463286284,7/25/22
335,-150.73,61.26,206,4.879123401,0.489953267,9.936404241,7/26/22
336,-150.73,61.26,207,5.77411526,1.169151616,9.803096771,7/27/22
337,-150.73,61.26,208,1.642807552,-0.024757505,2.748333696,7/28/22
338,-150.73,61.26,209,2.618990439,-0.002128934,4.389479803,7/29/22
339,-150.73,61.26,210,1.285363214,-0.091515387,3.210372508,7/30/22
340,-150.73,61.26,211,2.023292988,-0.020954299,3.62887717,7/31/22
341,-150.73,61.26,212,2.098901447,-0.058248026,3.626282955,8/1/22
342,-150.73,61.26,213,2.008102656,-0.257614105,2.99525436,8/2/22
343,-150.73,61.26,214,1.890453502,0.249257723,2.867253878,8/3/22
344,-150.73,61.26,215,2.001069465,0.053691679,3.343486483,8/4/22
345,-150.73,61.26,216,3.03531546,-1.085640913,4.790887064,8/5/22
346,-150.73,61.26,217,4.46758647,1.193626547,6.06360126,8/6/22
347,-150.73,61.26,218,3.68675921,0.014890212,5.275644542,8/7/22
348,-150.73,61.26,219,5.274600953,0.469036459,9.813886401,8/8/22
349,-150.73,61.26,220,8.125954194,0.478280513,9.602552308,8/9/22
350,-150.73,61.26,221,4.830524648,-0.597000398,7.497545913,8/10/22
351,-150.73,61.26,222,3.049831347,0.379649619,4.213444129,8/11/22
352,-150.73,61.26,223,3.062557597,0.09122078,4.475691266,8/12/22
353,-150.73,61.26,224,3.56696678,0.246013665,4.277014812,8/13/22
354,-150.73,61.26,225,1.783034264,0.187710121,2.889484259,8/14/22
355,-150.73,61.26,226,1.154600076,0.088963675,1.890580429,8/15/22
356,-150.73,61.26,227,1.30914568,0.061410156,2.743291629,8/16/22
357,-150.73,61.26,228,3.2375962,0.506351634,5.288368175,8/17/22
358,-150.73,61.26,229,3.493097085,0.47579025,6.590223038,8/18/22
359,-150.73,61.26,230,3.765439804,0.611298212,5.605636622,8/19/22
360,-150.73,61.26,231,3.156154848,-0.137948961,4.245381784,8/20/22
