event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:fix-type-raw,height-above-ellipsoid,height-raw,import-marked-outlier,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,height-above-msl,ECMWF ERA5 PL U Wind,ECMWF ERA5 PL V Wind,ECMWF ERA5 PL Pressure Vertical Velocity
23733298257,TRUE,2022-06-20,-156.6179657,58.6871414,,,45,,,,,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",29.42009836,NaN,NaN,NaN
23733292140,TRUE,2022-06-15,-156.713562,58.7142525,,,45,,,,,,,gps,Limnodromus griseus,233816,129231923,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",29.44626774,NaN,NaN,NaN
23733286201,TRUE,2022-06-15,-151.0181732,61.2113533,,,45,,,,,,,gps,Limnodromus griseus,233812,123233511,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",38.95344464,NaN,NaN,NaN
23370626610,TRUE,2022-08-04,-145.430878,60.3826065,,3D,45,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233812,123233511,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",31.89113203,NaN,NaN,NaN
23501430309,TRUE,2022-08-04,-145.430878,60.3826065,,3D,45,,FALSE,G,OK,,,gps,Limnodromus griseus,233812,123233511,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",31.89113203,NaN,NaN,NaN
23733298260,TRUE,2022-07-01,-156.6179657,58.6871414,,,44,,,,,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",28.42009836,NaN,NaN,NaN
23733298262,TRUE,2022-07-05,-156.6007996,58.6883469,,,44,,,,,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",28.41346985,NaN,NaN,NaN
23357225811,TRUE,2022-07-29,-157.598679,57.6110992,,3D,44,,FALSE,G,OK,,,gps,Limnodromus griseus,233824,129231999,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",29.00196356,NaN,NaN,NaN
23733298254,TRUE,2022-06-05,-156.6173096,58.6880112,,,43,,,,,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",27.41954491,1.476846451,-0.223541629,-0.070397361
23733298259,TRUE,2022-06-30,-156.6179657,58.6871185,,,43,,,,,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",27.42010671,NaN,NaN,NaN
